[SRM] Código da operação,variavel_target,Total do Contrato (Bruto),Nota da Clínica,Capacidade Idade,Capital Endividamento,Serasa Score,Carater Acoes_Judiciais_Cheques_Sustados_e_PIE,Carater Percentual_de_divida_vencida_total,Carater Quantidade_de_restricoes_comerciais,Serasa Quantidade de protestos,VTM Valor total,Taxa de Juros,Total do Contrato (Bruto)/renda utilizada
1122047.0,0,9691.0,0.0,62,0,688.0,0.0,0,0.0,0.0,12000.0,3.0,1.4331558710440697
1230505.0,1,10132.0,1.0,53,0,731.0,0.0,0,0.0,0.0,5911.0,3.0,3.4829838432451012
1124261.0,0,2400.0,0.0,65,0,987.0,0.0,0,0.0,0.0,12000.0,3.0,0.40899795501022496
1122213.0,0,5997.0,0.0,68,0,882.0,0.0,0,0.0,0.0,4777.0,3.0,2.883173076923077
1122209.0,1,2276.0,2.0,24,0,476.0,0.0,0,0.0,0.0,1571.0,4.0,1.4225
1122668.0,1,2883.0,0.0,23,0,462.0,0.0,0,0.0,0.0,2521.0,3.0,1.5583783783783784
1124124.0,0,2259.0,2.0,21,0,591.0,0.0,0,0.0,0.0,1395.0,4.0,1.5579310344827586
1124123.0,0,2390.0,2.0,47,0,697.0,0.0,0,0.0,0.0,1571.0,4.0,1.49375
1124266.0,1,2788.0,2.0,51,0,497.0,0.0,0,0.0,0.0,1750.0,3.0,2.074404761904762
1134420.0,0,7593.0,2.0,66,140,1000.0,0.0,0,0.0,0.0,5765.0,4.0,2.3420727945712523
1125263.0,0,2391.0,2.0,58,7,624.0,0.0,0,0.0,0.0,2892.0,3.0,1.37098623853211
1124451.0,1,2010.0,2.0,26,0,506.0,0.0,0,0.0,0.0,1890.0,3.0,1.3997214484679665
1127918.0,0,5331.0,2.0,60,27,550.0,0.0,0,1.0,1.0,4436.0,3.0,2.0598918083462134
1125031.0,1,3403.0,2.0,42,3,815.0,0.0,0,0.0,0.0,2210.0,4.0,1.9032438478747205
1124502.0,1,6860.0,1.0,42,126,550.0,0.0,0,0.0,0.0,7443.0,4.0,1.6574051703309978
1125384.0,1,2521.0,2.0,45,9,525.0,0.0,0,0.0,0.0,1704.0,4.0,1.4716870986573263
1125504.0,0,2228.0,2.0,50,32,796.0,0.0,0,0.0,0.0,4616.0,4.0,0.84779299847793
1264389.0,1,3734.0,2.0,35,46,429.0,0.0,0,0.0,0.0,-39.0,4.0,16.81981981981982
1127925.0,1,8084.0,2.0,46,25,676.0,0.0,0,0.0,0.0,5615.0,4.0,2.5566097406704618
1127718.0,0,7319.0,1.0,68,82,550.0,0.0,2,1.0,0.0,4694.0,4.0,2.05647653835347
1127917.0,0,2943.0,0.0,18,0,582.0,0.0,0,0.0,0.0,1759.0,3.0,2.18
1126553.0,0,7475.0,1.0,41,34,896.0,0.0,0,0.0,0.0,4645.0,4.0,2.8282255013242525
1127924.0,0,5327.0,2.0,49,101,700.0,0.0,0,0.0,0.0,3459.0,4.0,2.3201219512195124
1127931.0,0,6890.0,1.0,34,212,572.0,0.0,0,0.0,0.0,5919.0,4.0,2.07280385078219
1127938.0,0,2914.0,1.0,47,5,848.0,0.0,0,0.0,0.0,1815.0,4.0,1.93364299933643
1130715.0,1,6427.0,2.0,57,37,688.0,0.0,0,0.0,0.0,10000.0,4.0,0.9496158392434988
1128913.0,1,5612.0,0.0,60,160,966.0,0.0,0,0.0,0.0,12000.0,3.0,0.655760691750409
